가방핸드백,여행용가방,키홀더,지갑,,,,,,,,
가죽벨트,,,,,,,,,,,
가죽장갑.각종 스포츠 장갑,가죽장갑,스포츠장갑,,,,,,,,,
각종 공구류,접착제,공구류(전동x),,,,,,,,,
각종 목제품,목제품,,,,,,,,,,
각종서류인쇄물,서류인쇄물,,,,,,,,,,
각종 악기,,,,,,,,,,,
각종 장난감류,유희용카드,장난감류,,,,,,,,,
건전지,건전지,,,,,,,,,,
골프클럽,골프클럽,,,,,,,,,,
광고선전물.각종 인쇄물,광고선전물,인쇄물,,,,,,,,,
구리스윤활제,구리스윤활제,,,,,,,,,,
금속제 주방용품,금속제 주방용품,전자저울,,,,,,,,,
기타 두발용 제품,헤어 에센스,기타,,,,,,,,,
기타 목록통관,금속제 제품,귀마개,"실,털실",면마스크(필터기능 없음),미용소품,기념주화/팬던트,지금형주화,실버바/라운드(도금만 목록가능),망원경(전자식x),직물/섬유 생산품,물티슈(세정기능x)
기타 스포츠용품,자전거,자전거 라이트,자전거 부품,기타,,,,,,,
기타 화장품,화장솜,기타,,,,,,,,,
낚시용품,,,,,,,,,,,
